or1, or, Fail, oll16, Testing std functionality (1 | 2) (dependant on: ADDIU JR) - Expected exit code 3 - Exited with code 2
or2, or, Fail, oll16, Testing std functionality (1 | 3) (dependant on: ADDDIU JR) - Expected exit code 3 - Exited with code 1
ori1, ori, Fail, oll16, Testing std functionality (1 | 3) (dependant on: ADDI JR) - Expected exit code 3 - Exited with code 0
ori2, ori, Fail, oll16, Testing std functionality (-1 | 0) (dependant on: JR) - Expected exit code 255 - Exited with code 0
sb1, sb, Fail, oll16, Testing stdout (dependant on: ADDIU LUI JR) - Expected exit code 0 - Exited with code 0 - Expected output "!" - Recieved output ""
sb2, sb, Fail, oll16, Testing stdout and only 1 byte (dependant on: LUI ADDIU JR) - Expected exit code 0 - Exited with code 0 - Expected output "!" - Recieved output ""
sb3, sb, Fail, ng2517, Testing invalid mem write ADDR_NULL (dependant on: JR) - Expected exit code 245 - Exited with code 0
sb4, sb, Fail, ng2517, Testing invalid mem write ADDR_INSTR (dependant on: LUI JR) - Expected exit code 245 - Exited with code 0
sb5, sb, Fail, ng2517, Testing invalid mem write ADDR_GETC (dependant on: LUI JR) - Expected exit code 245 - Exited with code 0
sh1, sh, Fail, oll16, Testing std functionality (dependant on: LUI ADDI LW JR) - Expected exit code 30 - Exited with code 0
sh2, sh, Fail, oll16, Testing std functionality (dependant on: LUI ADDIU LW SRL OR) - Expected exit code 5 - Exited with code 0
sh3, sh, Pass, oll16, Testing stdout functionality (dependant on: LUI ADDIU LW SRL OR) - Expected exit code 0 - Exited with code 0
sh4, sh, Fail, oll16, Testing stdout functionality (dependant on: LUI ADDIU LW SRL OR) - Expected exit code 0 - Exited with code 0 - Expected output "!" - Recieved output ""
sll1, sll, Fail, oll16, Testing std functionality (dependant on: ADDIU JR) - Expected exit code 16 - Exited with code 2
sllv1, sllv, Fail, oll16, Testing std functionality (dependant on: ADDIU JR) - Expected exit code 4 - Exited with code 1
sllv2, sllv, Pass, oll16, Testing shift by 32 (shouldnt do anything) (dependant on: ADDIU JR) - Expected exit code 1 - Exited with code 1
slt1, slt, Fail, oll16, Testing < and = and > (dependant on: ADDI SLL ADDU JR) - Expected exit code 1 - Exited with code 0
slti1, slti, Fail, oll16, Testing < and = and > (dependant on: ADDU SLL JR) - Expected exit code 1 - Exited with code 0
sltiu1, sltiu, Fail, oll16, Testing < and = and > (dependant on: SLL ADDU JR) - Expected exit code 5 - Exited with code 0
sltu1, sltu, Fail, oll16, Testing < and = and > (dependant on: ADDI ADDU SLL JR) - Expected exit code 5 - Exited with code 0
sra1, sra, Fail, oll16, Testing std functionality (dependant on: LUI JR) - Expected exit code 255 - Exited with code 0
sra2, sra, Fail, oll16, Testing std functionality (dependant on: LUI JR) - Expected exit code 1 - Exited with code 0
srav1, srav, Fail, oll16, Testing std functionality (dependant on: ADDIU LUI JR) - Expected exit code 255 - Exited with code 0
srav2, srav, Fail, oll16, testing std functionality (dependant on: ADDIU LUI JR) - Expected exit code 1 - Exited with code 0
srl1, srl, Fail, oll16, Testing std functionality (dependant on: LUI JR) - Expected exit code 1 - Exited with code 0
srl2, srl, Fail, oll16, Testing std functionality (dependant on: LUI JR) - Expected exit code 1 - Exited with code 0
srlv1, srlv, Fail, oll16, Testing std functionality (dependant on: ADDIU LUI JR) - Expected exit code 1 - Exited with code 0
srlv2, srlv, Fail, oll16, Testing std functionality (dependant on: ADDIU LUI JR) - Expected exit code 1 - Exited with code 0
sub1, sub, Fail, oll16, Testing std functionality (10-5) (dependant on: ADDIU JR) - Expected exit code 5 - Exited with code 0
sub2, sub, Pass, oll16, Testing overflow (dependant on: LUI ADDI JR) - Expected exit code 246 - Exited with code 246
sub3, sub, Fail, ng2517, Testing std functionality (10-(-1)) (dependant on: LUI ADDI JR) - Expected exit code 11 - Exited with code 0
subu1, subu, Fail, oll16, Testing std functionality (10-5) (dependant on: ADDIU JR) - Expected exit code 5 - Exited with code 0
subu2, subu, Fail, oll16, Testing largest negative - 1 (dependant on: LUI ADDI JR) - Expected exit code 255 - Exited with code 0
sw1, sw, Fail, oll16, Testing std functionality (dependant on: ADDI SLL LB OR JR) - Expected exit code 15 - Exited with code 0
sw2, sw, Fail, ng2517, Testing stdout - Expected exit code 0 - Exited with code 0 - Expected output "!" - Recieved output ""
xor1, xor, Fail, oll16, Testing std functionality (1^2) (dependant on: ADDIU JR) - Expected exit code 3 - Exited with code 0
xor2, xor, Fail, oll16, Testing std functionality (1^3) (dependant on: ADDIU JR) - Expected exit code 2 - Exited with code 0
xori1, xori, Fail, oll16, Testing std functionality (1^2) (dependant on: ADDIU JR) - Expected exit code 3 - Exited with code 0
xori2, xori, Fail, oll16, Testing std functionality (1^3) (dependant on: ADDIU JR) - Expected exit code 2 - Exited with code 0
